date;hour;state;suspects;refuses;cases;deaths
30/01/2020;16:00;Minas Gerais;1;0;0;0
30/01/2020;16:00;Rio de Janeiro;1;0;0;0
30/01/2020;16:00;Santa Catarina;0;2;0;0
30/01/2020;16:00;São Paulo;3;1;0;0
30/01/2020;16:00;Rio Grande do Sul;2;2;0;0
30/01/2020;16:00;Paraná;1;1;0;0
30/01/2020;16:00;Ceará;1;0;0;0
31/01/2020;12:00;Ceará;1;0;0;0
31/01/2020;12:00;Minas Gerais;1;0;0;0
31/01/2020;12:00;Rio de Janeiro;0;1;0;0
31/01/2020;12:00;São Paulo;7;2;0;0
31/01/2020;12:00;Paraná;1;1;0;0
31/01/2020;12:00;Santa Catarina;1;2;0;0
31/01/2020;12:00;Rio Grande do Sul;2;3;0;0
01/02/2020;12:00;Ceará;1;0;0;0
01/02/2020;12:00;Minas Gerais;0;1;0;0
01/02/2020;12:00;Rio de Janeiro;0;1;0;0
01/02/2020;12:00;São Paulo;8;2;0;0
01/02/2020;12:00;Paraná;1;1;0;0
01/02/2020;12:00;Santa Catarina;2;2;0;0
01/02/2020;12:00;Rio Grande do Sul;4;3;0;0
02/02/2020;12:00;Ceará;1;0;0;0
02/02/2020;12:00;Minas Gerais;0;1;0;0
02/02/2020;12:00;Rio de Janeiro;0;1;0;0
02/02/2020;12:00;São Paulo;8;2;0;0
02/02/2020;12:00;Paraná;1;1;0;0
02/02/2020;12:00;Santa Catarina;2;2;0;0
02/02/2020;12:00;Rio Grande do Sul;4;3;0;0
03/02/2020;16:00;Ceará;0;1;0;0
03/02/2020;16:00;Minas Gerais;0;1;0;0
03/02/2020;16:00;Rio de Janeiro;1;1;0;0
03/02/2020;16:00;São Paulo;7;3;0;0
03/02/2020;16:00;Paraná;0;2;0;0
03/02/2020;16:00;Santa Catarina;2;2;0;0
03/02/2020;16:00;Rio Grande do Sul;4;3;0;0
04/02/2020;15:00;Ceará;0;1;0;0
04/02/2020;15:00;Minas Gerais;0;1;0;0
04/02/2020;15:00;Rio de Janeiro;1;2;0;0
04/02/2020;15:00;São Paulo;6;5;0;0
04/02/2020;15:00;Paraná;0;2;0;0
04/02/2020;15:00;Santa Catarina;2;2;0;0
04/02/2020;15:00;Rio Grande do Sul;4;3;0;0
05/02/2020;12:00;Ceará;0;1;0;0
05/02/2020;12:00;Minas Gerais;0;1;0;0
05/02/2020;12:00;Rio de Janeiro;1;2;0;0
05/02/2020;12:00;São Paulo;4;9;0;0
05/02/2020;12:00;Paraná;0;2;0;0
05/02/2020;12:00;Santa Catarina;1;3;0;0
05/02/2020;12:00;Rio Grande do Sul;5;3;0;0
06/02/2020;15:30;Ceará;0;1;0;0
06/02/2020;15:30;Minas Gerais;1;1;0;0
06/02/2020;15:30;Rio de Janeiro;1;2;0;0
06/02/2020;15:30;São Paulo;3;10;0;0
06/02/2020;15:30;Paraná;0;2;0;0
06/02/2020;15:30;Santa Catarina;1;3;0;0
06/02/2020;15:30;Rio Grande do Sul;3;5;0;0
06/02/2020;15:30;Ceará;0;1;0;0
06/02/2020;15:30;Minas Gerais;1;1;0;0
06/02/2020;15:30;Rio de Janeiro;1;2;0;0
06/02/2020;15:30;São Paulo;3;10;0;0
06/02/2020;15:30;Paraná;0;2;0;0
06/02/2020;15:30;Santa Catarina;1;3;0;0
06/02/2020;15:30;Rio Grande do Sul;3;5;0;0
07/02/2020;15:30;Ceará;0;1;0;0
07/02/2020;15:30;Minas Gerais;1;1;0;0
07/02/2020;15:30;Rio de Janeiro;1;2;0;0
07/02/2020;15:30;São Paulo;3;11;0;0
07/02/2020;15:30;Paraná;0;2;0;0
07/02/2020;15:30;Santa Catarina;1;3;0;0
07/02/2020;15:30;Rio Grande do Sul;2;6;0;0
08/02/2020;13:30;Ceará;0;1;0;0
08/02/2020;13:30;Minas Gerais;1;1;0;0
08/02/2020;13:30;Rio de Janeiro;1;2;0;0
08/02/2020;13:30;São Paulo;2;13;0;0
08/02/2020;13:30;Paraná;0;2;0;0
08/02/2020;13:30;Santa Catarina;1;3;0;0
08/02/2020;13:30;Rio Grande do Sul;3;6;0;0
09/02/2020;13:30;Ceará;0;1;0;0
09/02/2020;13:30;Minas Gerais;1;1;0;0
09/02/2020;13:30;Rio de Janeiro;2;2;0;0
09/02/2020;13:30;São Paulo;3;13;0;0
09/02/2020;13:30;Paraná;1;2;0;0
09/02/2020;13:30;Santa Catarina;1;3;0;0
09/02/2020;13:30;Rio Grande do Sul;3;6;0;0
10/02/2020;15:30;Ceará;0;1;0;0
10/02/2020;15:30;Minas Gerais;1;1;0;0
10/02/2020;15:30;Rio de Janeiro;1;3;0;0
10/02/2020;15:30;São Paulo;3;13;0;0
10/02/2020;15:30;Paraná;1;2;0;0
10/02/2020;15:30;Santa Catarina;0;4;0;0
10/02/2020;15:30;Rio Grande do Sul;1;8;0;0
11/02/2020;16:00;Ceará;0;1;0;0
11/02/2020;16:00;Minas Gerais;1;1;0;0
11/02/2020;16:00;Rio de Janeiro;2;3;0;0
11/02/2020;16:00;São Paulo;3;14;0;0
11/02/2020;16:00;Paraná;1;2;0;0
11/02/2020;16:00;Santa Catarina;0;4;0;0
11/02/2020;16:00;Rio Grande do Sul;1;8;0;0
12/02/2020;16:00;Ceará;0;1;0;0
12/02/2020;16:00;Minas Gerais;1;1;0;0
12/02/2020;16:00;Rio de Janeiro;2;3;0;0
12/02/2020;16:00;São Paulo;6;14;0;0
12/02/2020;16:00;Paraná;1;2;0;0
12/02/2020;16:00;Santa Catarina;0;4;0;0
12/02/2020;16:00;Rio Grande do Sul;1;8;0;0
13/02/2020;16:00;Ceará;0;1;0;0
13/02/2020;16:00;Minas Gerais;0;2;0;0
13/02/2020;16:00;Rio de Janeiro;0;5;0;0
13/02/2020;16:00;São Paulo;3;17;0;0
13/02/2020;16:00;Paraná;1;2;0;0
13/02/2020;16:00;Santa Catarina;0;4;0;0
13/02/2020;16:00;Rio Grande do Sul;2;8;0;0
13/02/2020;16:00;Distrito Federal;0;1;0;0
14/02/2020;16:00;Ceará;0;1;0;0
14/02/2020;16:00;Minas Gerais;0;2;0;0
14/02/2020;16:00;Rio de Janeiro;0;5;0;0
14/02/2020;16:00;São Paulo;1;20;0;0
14/02/2020;16:00;Paraná;1;2;0;0
14/02/2020;16:00;Santa Catarina;0;4;0;0
14/02/2020;16:00;Rio Grande do Sul;2;8;0;0
14/02/2020;16:00;Distrito Federal;0;1;0;0
15/02/2020;14:00;Ceará;0;1;0;0
15/02/2020;14:00;Minas Gerais;0;2;0;0
15/02/2020;14:00;Rio de Janeiro;0;5;0;0
15/02/2020;14:00;São Paulo;2;20;0;0
15/02/2020;14:00;Paraná;0;3;0;0
15/02/2020;14:00;Santa Catarina;0;4;0;0
15/02/2020;14:00;Rio Grande do Sul;1;9;0;0
15/02/2020;14:00;Distrito Federal;0;1;0;0
16/02/2020;12:00;Ceará;0;1;0;0
16/02/2020;12:00;Minas Gerais;0;2;0;0
16/02/2020;12:00;Rio de Janeiro;0;5;0;0
16/02/2020;12:00;São Paulo;2;20;0;0
16/02/2020;12:00;Paraná;0;3;0;0
16/02/2020;12:00;Santa Catarina;0;4;0;0
16/02/2020;12:00;Rio Grande do Sul;1;9;0;0
16/02/2020;12:00;Distrito Federal;0;1;0;0
17/02/2020;15:50;Ceará;0;1;0;0
17/02/2020;15:50;Minas Gerais;0;2;0;0
17/02/2020;15:50;Rio de Janeiro;0;5;0;0
17/02/2020;15:50;São Paulo;2;20;0;0
17/02/2020;15:50;Paraná;0;3;0;0
17/02/2020;15:50;Santa Catarina;0;4;0;0
17/02/2020;15:50;Rio Grande do Sul;1;9;0;0
17/02/2020;15:50;Distrito Federal;0;1;0;0
18/02/2020;15:50;Ceará;0;1;0;0
18/02/2020;15:50;Minas Gerais;0;2;0;0
18/02/2020;15:50;Rio de Janeiro;0;5;0;0
18/02/2020;15:50;São Paulo;4;20;0;0
18/02/2020;15:50;Paraná;0;3;0;0
18/02/2020;15:50;Santa Catarina;0;4;0;0
18/02/2020;15:50;Rio Grande do Sul;1;9;0;0
18/02/2020;15:50;Distrito Federal;0;1;0;0
19/02/2020;15:50;Ceará;0;1;0;0
19/02/2020;15:50;Minas Gerais;0;2;0;0
19/02/2020;15:50;Rio de Janeiro;0;5;0;0
19/02/2020;15:50;São Paulo;1;23;0;0
19/02/2020;15:50;Paraná;0;3;0;0
19/02/2020;15:50;Santa Catarina;0;4;0;0
19/02/2020;15:50;Rio Grande do Sul;1;9;0;0
19/02/2020;15:50;Distrito Federal;0;1;0;0
20/02/2020;15:50;Ceará;0;1;0;0
20/02/2020;15:50;Minas Gerais;0;2;0;0
20/02/2020;15:50;Rio de Janeiro;0;5;0;0
20/02/2020;15:50;São Paulo;1;24;0;0
20/02/2020;15:50;Paraná;0;3;0;0
20/02/2020;15:50;Santa Catarina;0;4;0;0
20/02/2020;15:50;Rio Grande do Sul;0;10;0;0
20/02/2020;15:50;Distrito Federal;0;1;0;0
21/02/2020;14:30;Ceará;0;1;0;0
21/02/2020;14:30;Minas Gerais;0;2;0;0
21/02/2020;14:30;Rio de Janeiro;1;5;0;0
21/02/2020;14:30;São Paulo;0;25;0;0
21/02/2020;14:30;Paraná;0;3;0;0
21/02/2020;14:30;Santa Catarina;0;4;0;0
21/02/2020;14:30;Rio Grande do Sul;0;10;0;0
21/02/2020;14:30;Distrito Federal;0;1;0;0
22/02/2020;13:40;Ceará;0;1;0;0
22/02/2020;13:40;Minas Gerais;0;2;0;0
22/02/2020;13:40;Rio de Janeiro;1;6;0;0
22/02/2020;13:40;São Paulo;0;25;0;0
22/02/2020;13:40;Paraná;0;3;0;0
22/02/2020;13:40;Santa Catarina;0;4;0;0
22/02/2020;13:40;Rio Grande do Sul;0;10;0;0
22/02/2020;13:40;Distrito Federal;0;1;0;0
23/02/2020;12:30;Ceará;0;1;0;0
23/02/2020;12:30;Minas Gerais;0;2;0;0
23/02/2020;12:30;Rio de Janeiro;1;7;0;0
23/02/2020;12:30;São Paulo;1;25;0;0
23/02/2020;12:30;Paraná;0;3;0;0
23/02/2020;12:30;Santa Catarina;0;4;0;0
23/02/2020;12:30;Rio Grande do Sul;0;10;0;0
23/02/2020;12:30;Distrito Federal;0;1;0;0
24/02/2020;12:25;Ceará;0;1;0;0
24/02/2020;12:25;Minas Gerais;0;2;0;0
24/02/2020;12:25;Rio de Janeiro;1;7;0;0
24/02/2020;12:25;São Paulo;3;26;0;0
24/02/2020;12:25;Paraná;0;3;0;0
24/02/2020;12:25;Santa Catarina;0;4;0;0
24/02/2020;12:25;Rio Grande do Sul;0;10;0;0
24/02/2020;12:25;Distrito Federal;0;1;0;0
25/02/2020;13:50;Ceará;0;1;0;0
25/02/2020;13:50;Minas Gerais;0;2;0;0
25/02/2020;13:50;Rio de Janeiro;0;8;0;0
25/02/2020;13:50;São Paulo;4;26;0;0
25/02/2020;13:50;Paraná;0;3;0;0
25/02/2020;13:50;Santa Catarina;0;4;0;0
25/02/2020;13:50;Rio Grande do Sul;0;10;0;0
25/02/2020;13:50;Distrito Federal;0;1;0;0
25/02/2020;13:50;Ceará;0;1;0;0
25/02/2020;13:50;Minas Gerais;0;2;0;0
25/02/2020;13:50;Rio de Janeiro;0;8;0;0
25/02/2020;13:50;São Paulo;4;26;0;0
25/02/2020;13:50;Paraná;0;3;0;0
25/02/2020;13:50;Santa Catarina;0;4;0;0
25/02/2020;13:50;Rio Grande do Sul;0;10;0;0
25/02/2020;13:50;Distrito Federal;0;1;0;0
26/02/2020;11:30;Ceará;0;1;0;0
26/02/2020;11:30;Bahia;0;2;0;0
26/02/2020;11:30;Paraíba;1;0;0;0
26/02/2020;11:30;Pernambuco;1;0;0;0
26/02/2020;11:30;Minas Gerais;2;2;0;0
26/02/2020;11:30;Espírito Santo;1;0;0;0
26/02/2020;11:30;Rio de Janeiro;2;8;0;0
26/02/2020;11:30;São Paulo;11;28;1;0
26/02/2020;11:30;Paraná;0;3;0;0
26/02/2020;11:30;Santa Catarina;2;4;0;0
26/02/2020;11:30;Rio Grande do Sul;0;10;0;0
26/02/2020;11:30;Distrito Federal;0;1;0;0
27/02/2020;17:00;Ceará;5;1;0;0
27/02/2020;17:00;Rio Grande do Norte;4;0;0;0
27/02/2020;17:00;Paraíba;1;0;0;0
27/02/2020;17:00;Pernambuco;3;0;0;0
27/02/2020;17:00;Alagoas;1;0;0;0
27/02/2020;17:00;Bahia;1;2;0;0
27/02/2020;17:00;Minas Gerais;5;3;0;0
27/02/2020;17:00;Espírito Santo;1;0;0;0
27/02/2020;17:00;Rio de Janeiro;9;8;0;0
27/02/2020;17:00;São Paulo;55;28;1;0
27/02/2020;17:00;Paraná;5;3;0;0
27/02/2020;17:00;Santa Catarina;8;4;0;0
27/02/2020;17:00;Rio Grande do Sul;24;10;0;0
27/02/2020;17:00;Mato Grosso do Sul;2;0;0;0
27/02/2020;17:00;Goiás;3;0;0;0
27/02/2020;17:00;Distrito Federal;5;1;0;0
28/02/2020;16:10;Ceará;6;2;0;0
28/02/2020;16:10;Rio Grande do Norte;3;2;0;0
28/02/2020;16:10;Paraíba;1;1;0;0
28/02/2020;16:10;Pernambuco;5;2;0;0
28/02/2020;16:10;Alagoas;1;0;0;0
28/02/2020;16:10;Bahia;9;4;0;0
28/02/2020;16:10;Minas Gerais;17;3;0;0
28/02/2020;16:10;Espírito Santo;2;1;0;0
28/02/2020;16:10;Rio de Janeiro;19;8;0;0
28/02/2020;16:10;São Paulo;66;30;1;0
28/02/2020;16:10;Paraná;5;3;0;0
28/02/2020;16:10;Santa Catarina;9;4;0;0
28/02/2020;16:10;Rio Grande do Sul;27;10;0;0
28/02/2020;16:10;Mato Grosso do Sul;2;0;0;0
28/02/2020;16:10;Goiás;5;0;0;0
28/02/2020;16:10;Distrito Federal;5;1;0;0
29/02/2020;19:05;Ceará;6;2;0;0
29/02/2020;19:05;Rio Grande do Norte;3;2;0;0
29/02/2020;19:05;Paraíba;1;1;0;0
29/02/2020;19:05;Pernambuco;5;2;0;0
29/02/2020;19:05;Alagoas;1;0;0;0
29/02/2020;19:05;Bahia;9;4;0;0
29/02/2020;19:05;Minas Gerais;17;3;0;0
29/02/2020;19:05;Espírito Santo;2;1;0;0
29/02/2020;19:05;Rio de Janeiro;19;8;0;0
29/02/2020;19:05;São Paulo;91;38;2;0
29/02/2020;19:05;Paraná;5;3;0;0
29/02/2020;19:05;Santa Catarina;9;4;0;0
29/02/2020;19:05;Rio Grande do Sul;27;10;0;0
29/02/2020;19:05;Mato Grosso do Sul;2;0;0;0
29/02/2020;19:05;Goiás;5;0;0;0
29/02/2020;19:05;Distrito Federal;5;1;0;0
01/03/2020;15:05;Ceará;6;2;0;0
01/03/2020;15:05;Rio Grande do Norte;3;2;0;0
01/03/2020;15:05;Paraíba;1;1;0;0
01/03/2020;15:05;Pernambuco;5;2;0;0
01/03/2020;15:05;Alagoas;1;0;0;0
01/03/2020;15:05;Bahia;9;4;0;0
01/03/2020;15:05;Minas Gerais;17;3;0;0
01/03/2020;15:05;Espírito Santo;2;1;0;0
01/03/2020;15:05;Rio de Janeiro;19;8;0;0
01/03/2020;15:05;São Paulo;136;48;2;0
01/03/2020;15:05;Paraná;5;3;0;0
01/03/2020;15:05;Santa Catarina;9;4;0;0
01/03/2020;15:05;Rio Grande do Sul;27;10;0;0
01/03/2020;15:05;Mato Grosso do Sul;2;0;0;0
01/03/2020;15:05;Goiás;5;0;0;0
01/03/2020;15:05;Distrito Federal;5;1;0;0
02/03/2020;16:30;Rondônia;1;0;0;0
02/03/2020;16:30;Amazonas;1;1;0;0
02/03/2020;16:30;Pará;2;2;0;0
02/03/2020;16:30;Maranhão;1;1;0;0
02/03/2020;16:30;Piauí;1;2;0;0
02/03/2020;16:30;Ceará;6;6;0;0
02/03/2020;16:30;Rio Grande do Norte;2;6;0;0
02/03/2020;16:30;Paraíba;2;1;0;0
02/03/2020;16:30;Pernambuco;4;10;0;0
02/03/2020;16:30;Alagoas;3;1;0;0
02/03/2020;16:30;Sergipe;1;0;0;0
02/03/2020;16:30;Bahia;9;14;0;0
02/03/2020;16:30;Minas Gerais;48;4;0;0
02/03/2020;16:30;Espírito Santo;5;6;0;0
02/03/2020;16:30;Rio de Janeiro;42;27;0;0
02/03/2020;16:30;São Paulo;163;48;2;0
02/03/2020;16:30;Paraná;7;8;0;0
02/03/2020;16:30;Santa Catarina;36;4;0;0
02/03/2020;16:30;Rio Grande do Sul;73;10;0;0
02/03/2020;16:30;Mato Grosso do Sul;6;1;0;0
02/03/2020;16:30;Mato Grosso;5;0;0;0
02/03/2020;16:30;Goiás;3;7;0;0
02/03/2020;16:30;Distrito Federal;12;3;0;0
03/03/2020;15:50;Rondônia;1;0;0;0
03/03/2020;15:50;Amazonas;3;1;0;0
03/03/2020;15:50;Pará;1;4;0;0
03/03/2020;15:50;Maranhão;1;1;0;0
03/03/2020;15:50;Piauí;1;2;0;0
03/03/2020;15:50;Ceará;19;9;0;0
03/03/2020;15:50;Rio Grande do Norte;2;6;0;0
03/03/2020;15:50;Paraíba;4;1;0;0
